R (kOhm),RL,Freq (kHz),Vinpp,VLpp,faseL (deg),Vin,VL,sigmaV_in,sigmaV_L,sigmaF_L
9.9499999999999993,40,0.5,5.08,0.02,148.0,2.54,2.54,0.8,0.8,3.0
,,1.0,5.08,0.08,141.0,2.54,2.54,0.8,0.8,3.0
,,2.0,5.08,0.24,124.5,2.54,2.54,0.8,0.8,3.0
,,4.0,5.08,0.58,105.5,2.54,2.54,0.8,0.8,2.0
,,8.0,5.08,1.22,86.5,2.54,2.54,0.8,0.8,1.5
,,16.0,5.08,2.34,66.2,2.54,2.54,0.8,0.8,1.0
,,32.0,5.08,3.94,40.2,2.54,2.54,0.8,0.8,1.5
,,64.0,5.16,5.00,6.4,2.58,2.58,0.8,0.8,1.5
,,128.0,5.16,4.28,-30.0,2.58,2.58,0.8,0.8,2.0
,,256.0,5.16,2.68,-56.3,2.58,2.58,0.8,0.8,2.0
,,512.0,5.16,1.45,-70.0,2.58,2.58,0.8,0.8,2.0
,,1024.0,5.20,0.75,-75.6,2.60,2.60,0.8,0.8,2.0
,,2048.0,5.20,0.39,-73.4,2.60,2.60,0.8,0.8,3.0
,,4096.0,5.24,0.21,-64.0,2.62,2.62,0.8,0.8,3.0
,,8192.0,5.24,0.13,-50.0,2.62,2.62,0.8,0.8,4.0
,,16384.0,5.16,0.09,-31.0,2.58,2.58,0.8,0.8,3.0
